summary,comments,labels
API returning 500 on POST /api/v1/issues,When creating an issue we get a 500 error. Trace id=abc123. Backend logs show NullPointerException.,"server-error,needs-investigation"
User cannot login,"User reports ""cannot reproduce"" on our side. Steps: enter credentials, hit login. No logs found.","needs-info,auth"
SLA breach reported,"Customer reports SLA breach, response time exceeded 30s multiple times.","sla,priority-high"
Service timeout spike,Multiple timeouts (504) observed after deployment. Suspect upstream timeout config.,"timeout,deploy-issue"
Labels missing after migration,Labels not migrated for some issues; occurs on bulk import. Attached sample payload.,"data-migration,needs-info"
Payment gateway error 502,Users see 502 Bad Gateway when hitting /checkout. Correlate with gateway traces.,"gateway-error,server-error"
Fixed in commit 1234,"Issue resolved after hotfix, closing. Verified by QA.","fixed,qa-verified"
Assign to backend,Please assign to @backend-team for investigation and debugging.,"assign,triage"
"Overview -------- Apigee is an API management platform for designing, securing, publishing, monitoring and analyzing API...","Overview -------- Apigee is an API management platform for designing, securing, publishing, monitoring and analyzing APIs at scale. It sits in front of backend services as an API gateway / proxy, applying policies and flows so teams can change behavior without modifying backend code.",gateway-error
Core Concepts ------------- - API proxy: lightweight facade in front of backend APIs. Proxies declare flows (Request/Res...,"Core Concepts ------------- - API proxy: lightweight facade in front of backend APIs. Proxies declare flows (Request/Response) and attach policies. - Flow: ordered sequence of steps (policies, scripts, service callouts) that run for requests and responses. - Policies: declarative building blocks used to implement security, mediation, transformation, caching, quotas and analytics. Examples: OAuth2, VerifyJWT, SpikeArrest, Quota, JSONThreatProtection, AssignMessage, PopulateCache, ServiceCallout. - Environment: runtime container where proxies are deployed (dev, test, prod, pay-as-you-go environment types). - Shared flows: reusable sequences that can be attached to multiple proxies for cross-cutting concerns (logging, auth). - Developer portal: portal to onboard API consumers, publish API docs, manage keys and product subscriptions.",auth
"Policy Categories & Patterns --------------------------- - Security: OAuth v2, VerifyAPIKey, VerifyJWT, JSONThreatProtec...","Policy Categories & Patterns --------------------------- - Security: OAuth v2, VerifyAPIKey, VerifyJWT, JSONThreatProtection — pattern: always authenticate incoming traffic first, then apply authorization and threat protection. - Traffic Management: SpikeArrest, Quota, ConcurrentRateLimit — pattern: protections placed early in flow to reject abusive traffic before heavy processing. - Transformation / Mediation: AssignMessage, ExtractVariables, JSONtoXML, XSLTransform — pattern: canonicalize requests early and canonicalize responses before returning to client. - Caching: PopulateCache / LookupCache / ResponseCache — pattern: cache safe GET responses at edge to reduce backend load. - Extensible policies: where custom JS/Java/Python is required (use sparingly; prefer declarative policies).",auth
Best Practices (from docs) ------------------------- 1. Use declarative policies whenever possible (less custom code → e...,"Best Practices (from docs) ------------------------- 1. Use declarative policies whenever possible (less custom code → easier maintenance). 2. Keep security policies near the start of the request flow. 3. Use analytics for baselining and anomaly detection before setting strict quotas. 4. Use shared flows for cross-cutting concerns (auth, telemetry, error handling). 5. Monitor latency and error budgets; protect backends with rate limits and circuit-breaker patterns (ServiceCallout + RaiseFault).",auth
Integration patterns for SPEEDYFLOW --------------------------------- - Protect JIRA integration endpoints via API gatew...,"Integration patterns for SPEEDYFLOW --------------------------------- - Protect JIRA integration endpoints via API gateway: apply OAuth/JWT, rate limiting and JSONThreatProtection. - Add a shared flow that logs ticket-related metrics (counts by status/assignee/priority) into Apigee analytics for dashboards. - Use ServiceCallout to contact ML microservice (ml_service) for real-time predictions in request flow (e.g., when creating/updating issues, enrich payload with suggested assignee/labels).","auth,gateway-error"
"Clarifying questions (to gather context) -------------------------------------- - ""¿Puedes compartir el resumen y los pa...","Clarifying questions (to gather context) -------------------------------------- - ""¿Puedes compartir el resumen y los pasos para reproducir?"" - ""¿Este incidente afecta producción o solo un ambiente de prueba?"" - ""¿Hay SLA asociado a este ticket? ¿Cuál es la fecha límite?""",sla
"Triaging language (friendly / actionable) --------------------------------------- - ""Parece un problema de autenticación...","Triaging language (friendly / actionable) --------------------------------------- - ""Parece un problema de autenticación. Recomendación: (1) comprobar tokens, (2) revisar expiración, (3) reprobar con usuario de prueba. ¿Quieres que sugiera un comando o fragmento de log para buscar?"" - ""Sugiero asignarlo a @equipo-backend y agregar la etiqueta 'auth' — tengo una sugerencia de prioridad 'High' debido al impacto potencial.""","auth,assign"
